instance,calls,roop,incmode,inc/roop,roop/inc
s1_g60,9,50.098,25.659,0.512,1.952
s1_g70,9,47.177,24.981,0.530,1.889
s1_g80,9,43.193,15.852,0.367,2.725
s1_g90,9,48.984,22.983,0.469,2.131
s1_g100,7,20.964,4.709,0.225,4.452
s10_g60,7,21.947,5.132,0.234,4.277
s10_g70,9,43.840,16.290,0.372,2.691
s10_g80,7,21.156,4.887,0.231,4.329
s10_g90,7,21.276,5.324,0.250,3.996
s10_g100,9,45.704,17.697,0.387,2.583
s20_g60,7,21.202,4.973,0.235,4.263
s20_g70,5,9.890,2.699,0.273,3.664
s20_g80,9,48.473,16.335,0.337,2.967
s20_g90,11,107.938,64.441,0.597,1.675
s20_g100,9,48.473,17.894,0.369,2.709
s30_g60,7,21.189,5.287,0.250,4.008
s30_g70,5,9.901,2.735,0.276,3.620
s30_g80,7,21.884,5.223,0.239,4.190
s30_g90,5,9.979,2.658,0.266,3.754
s30_g100,9,50.344,18.845,0.374,2.671
s40_g60,9,44.637,14.254,0.319,3.132
s40_g70,7,21.334,4.795,0.225,4.449
s40_g80,9,45.202,14.099,0.312,3.206
s40_g90,7,21.710,5.119,0.236,4.241
s40_g100,7,21.299,5.666,0.266,3.759
s50_g60,5,10.021,2.726,0.272,3.676
s50_g70,7,21.291,4.718,0.222,4.513
s50_g80,7,21.163,6.503,0.307,3.254
s50_g90,11,108.299,65.352,0.603,1.657
s50_g100,5,9.934,2.700,0.272,3.679
