#Instance	Encoding	Solver	Config	RESULT	CPUTime	TIMELIMIT	Models	Calls	Choices	Conflicts	Restarts	Variables	Constraints
grid004x004_01	tj_jumped_inc	clingo540	handy	UNSAT	0.126	na	0	20	3134	2085	0	13469	34559
grid004x004_01	tj_jumped_inc	clingo540	tweety	UNSAT	0.096	na	0	20	2435	1455	16	13469	45761
grid004x004_01	tj_jumped_inc_hint1_2	clingo540	handy	UNSAT	0.056	na	0	20	3120	1481	0	1293	22522
grid004x004_01	tj_jumped_inc_hint1_2	clingo540	tweety	UNSAT	0.056	na	0	20	3921	2134	18	1552	31320
grid004x004_01	tj_jumped_inc_hint1	clingo540	handy	UNSAT	0.180	na	0	20	6220	3141	0	4919	65096
grid004x004_01	tj_jumped_inc_hint1	clingo540	tweety	UNSAT	0.145	na	0	20	4500	2986	29	4919	72227
grid004x004_01	tj_jumped_inc_hint2	clingo540	handy	UNSAT	0.165	na	0	20	3720	2205	0	4919	66479
grid004x004_01	tj_jumped_inc_hint2	clingo540	tweety	UNSAT	0.136	na	0	20	3951	2451	24	4919	65247
grid004x004_01	tj_sum_inc	clingo540	handy	UNSAT	0.035	na	0	20	2299	944	0	824	1403
grid004x004_01	tj_sum_inc	clingo540	tweety	UNSAT	0.034	na	0	20	2582	1021	6	824	1359
grid004x004_02	tj_jumped_inc	clingo540	handy	UNSAT	0.122	na	0	20	2813	1872	0	13469	33476
grid004x004_02	tj_jumped_inc	clingo540	tweety	UNSAT	0.097	na	0	20	2364	1548	15	13469	47710
grid004x004_02	tj_jumped_inc_hint1_2	clingo540	handy	UNSAT	0.055	na	0	20	3049	1345	0	1293	20627
grid004x004_02	tj_jumped_inc_hint1_2	clingo540	tweety	UNSAT	0.057	na	0	20	2310	1084	3	1552	28521
grid004x004_02	tj_jumped_inc_hint1	clingo540	handy	UNSAT	0.196	na	0	20	11924	4085	1	4919	62020
grid004x004_02	tj_jumped_inc_hint1	clingo540	tweety	UNSAT	0.140	na	0	20	4081	2771	27	4919	73028
grid004x004_02	tj_jumped_inc_hint2	clingo540	handy	UNSAT	0.163	na	0	20	3453	1987	0	4919	61485
grid004x004_02	tj_jumped_inc_hint2	clingo540	tweety	UNSAT	0.131	na	0	20	3548	2090	19	4919	68622
grid004x004_02	tj_sum_inc	clingo540	handy	UNSAT	0.036	na	0	20	1731	1024	0	824	1403
grid004x004_02	tj_sum_inc	clingo540	tweety	UNSAT	0.035	na	0	20	1941	1085	7	824	1358
grid004x004_03	tj_jumped_inc	clingo540	handy	SAT	0.059	na	1+	8	1767	1361	0	4651	11729
grid004x004_03	tj_jumped_inc	clingo540	tweety	SAT	0.057	na	1+	8	1975	1475	12	4651	15452
grid004x004_03	tj_jumped_inc_hint1_2	clingo540	handy	SAT	0.093	na	1+	8	2472	1704	0	1801	39685
grid004x004_03	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	0.078	na	1+	8	2640	1665	13	1801	37642
grid004x004_03	tj_jumped_inc_hint1	clingo540	handy	SAT	0.071	na	1+	8	2279	1478	0	1801	23164
grid004x004_03	tj_jumped_inc_hint1	clingo540	tweety	SAT	0.060	na	1+	8	2117	1473	12	1801	24746
grid004x004_03	tj_jumped_inc_hint2	clingo540	handy	SAT	0.066	na	1+	8	1732	1140	0	1801	22334
grid004x004_03	tj_jumped_inc_hint2	clingo540	tweety	SAT	0.059	na	1+	8	2286	1430	12	1801	24357
grid004x004_03	tj_sum_inc	clingo540	handy	SAT	0.025	na	1+	8	628	417	0	397	504
grid004x004_03	tj_sum_inc	clingo540	tweety	SAT	0.023	na	1+	8	381	231	2	397	504
grid004x004_04	tj_jumped_inc	clingo540	handy	SAT	0.075	na	1+	9	3095	2268	0	5385	13585
grid004x004_04	tj_jumped_inc	clingo540	tweety	SAT	0.066	na	1+	9	2678	1895	15	5385	18303
grid004x004_04	tj_jumped_inc_hint1_2	clingo540	handy	SAT	0.113	na	1+	9	2921	1972	0	2060	46852
grid004x004_04	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	0.093	na	1+	9	3172	2076	16	2060	48831
grid004x004_04	tj_jumped_inc_hint1	clingo540	handy	SAT	0.082	na	1+	9	3066	1910	0	2060	27321
grid004x004_04	tj_jumped_inc_hint1	clingo540	tweety	SAT	0.073	na	1+	9	3206	2043	17	2060	27688
grid004x004_04	tj_jumped_inc_hint2	clingo540	handy	SAT	0.081	na	1+	9	2766	1826	0	2060	28250
grid004x004_04	tj_jumped_inc_hint2	clingo540	tweety	SAT	0.069	na	1+	9	2727	1780	14	2060	29566
grid004x004_04	tj_sum_inc	clingo540	handy	SAT	0.026	na	1+	9	889	489	0	432	580
grid004x004_04	tj_sum_inc	clingo540	tweety	SAT	0.025	na	1+	9	734	410	3	432	573
grid004x004_05	tj_jumped_inc	clingo540	handy	UNSAT	0.131	na	0	20	3357	2340	0	13469	33487
grid004x004_05	tj_jumped_inc	clingo540	tweety	UNSAT	0.099	na	0	20	2483	1688	16	13469	45923
grid004x004_05	tj_jumped_inc_hint1_2	clingo540	handy	UNSAT	0.067	na	0	20	4375	2142	0	1552	23458
grid004x004_05	tj_jumped_inc_hint1_2	clingo540	tweety	UNSAT	0.047	na	0	20	3890	2416	30	1293	21529
grid004x004_05	tj_jumped_inc_hint1	clingo540	handy	UNSAT	0.173	na	0	20	4822	2778	0	4919	65640
grid004x004_05	tj_jumped_inc_hint1	clingo540	tweety	UNSAT	0.143	na	0	20	4439	2875	28	4919	64728
grid004x004_05	tj_jumped_inc_hint2	clingo540	handy	UNSAT	0.162	na	0	20	3349	1928	0	4919	64155
grid004x004_05	tj_jumped_inc_hint2	clingo540	tweety	UNSAT	0.131	na	0	20	3298	2117	22	4919	71129
grid004x004_05	tj_sum_inc	clingo540	handy	UNSAT	0.035	na	0	20	1916	886	0	824	1403
grid004x004_05	tj_sum_inc	clingo540	tweety	UNSAT	0.034	na	0	20	1777	1021	9	824	1390
hc-power-11_01	tj_jumped_inc	clingo540	handy	SAT	0.598	na	1+	22	41078	26698	13	26229	65395
hc-power-11_01	tj_jumped_inc	clingo540	tweety	SAT	0.502	na	1+	22	23972	17052	117	26229	83408
hc-power-11_01	tj_jumped_inc_hint1_2	clingo540	handy	SAT	0.690	na	1+	22	22594	10438	2	9529	264975
hc-power-11_01	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	0.543	na	1+	22	17841	10861	87	9529	235177
hc-power-11_01	tj_jumped_inc_hint1	clingo540	handy	SAT	0.484	na	1+	22	18514	11810	3	9529	148758
