#Instance  RESULT  Step  isrpTJ_exact1  isrpTJ_exact1_h  isrpTJ_exact1_d1h  isrpTJ_exact1_d2ht2  isrpTJ_exact1_allhint_inc
grid004x004_01  UNREACHABLE  19  0.064  0.086  0.067  0.148  0.058
grid004x004_02  UNREACHABLE  19  0.061  0.203  0.064  0.327  0.060
grid004x004_03  REACHABLE  7  0.050  0.057  0.052  0.058  0.055
grid004x004_04  REACHABLE  8  0.057  0.053  0.058  0.054  0.060
grid004x004_05  UNREACHABLE  19  0.065  0.062  0.065  0.320  0.058
hc-power-11_01  REACHABLE  21  0.162  0.185  0.207  0.091  0.098
hc-power-12_01  REACHABLE  69  180.123  17.410  17.491  36.278  71.051
hc-square-01_01  REACHABLE  12  0.055  0.060  0.061  0.058  0.061
hc-square-02_01  REACHABLE  30  0.818  0.586  0.594  0.403  0.432
hc-toyno-01_01  UNREACHABLE  5  0.050  0.049  0.048  0.049  0.049
hc-toyyes-01_01  REACHABLE  3  0.049  0.046  0.047  0.050  0.047
