#Instance  RESULT  cc_changed  cc_unchanged  cc_changed_inc  cc_unchanged_inc  ic_changed  ic_unchanged  ic_changed_inc  ic_unchanged_inc
1-FullIns_3_col4_1  SAT  1.374  1.0710000000000002  1.291  0.756  1.311  0.899  1.300  0.936
1-FullIns_3_col4_2  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_3  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_4  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_5  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_6  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_7  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_8  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_9  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
1-FullIns_3_col4_10  UNKN  TO  TO  TO  TO  TO  TO  TO  TO
le450_5a_col5_1  UNSAT  TO  TO  3.761  2.991  TO  TO  3.385  2.616
le450_5a_col5_2  UNSAT  TO  TO  2.943  11.673  TO  TO  3.258  8.989
le450_5a_col5_3  UNSAT  TO  TO  4.662  22.048  TO  TO  2.670  15.954
le450_5a_col5_4  UNSAT  TO  TO  TO  7.776  TO  TO  3.249  6.255
le450_5a_col5_5  UNSAT  TO  TO  TO  26.723  TO  TO  3.178  24.249
le450_5a_col5_6  UNSAT  TO  TO  3.618  3.220  TO  TO  1078.953  2.890
le450_5a_col5_7  UNSAT  TO  TO  1318.024  8.698  TO  TO  3.312  7.040
le450_5a_col5_8  UNSAT  TO  TO  3.367  18.226  TO  TO  3.735  13.650
le450_5a_col5_9  UNSAT  TO  TO  2.943  2.847  TO  TO  2.681  2.563
le450_5a_col5_10  UNSAT  TO  TO  2.968  3.196  TO  TO  TO  2.822
le450_5c_col5_1  UNSAT  TO  TO  2.189  2.165  2948.5100000000016  2473.2  1.755  1.058
le450_5c_col5_2  UNSAT  TO  TO  150.018  2.148  2964.0080000000007  2471.9639999999995  69.725  1.027
