#Instance  RESULT  cc_changed  cc_unchanged  cc_changed_inc  cc_unchanged_inc  ic_changed  ic_unchanged  ic_changed_inc  ic_unchanged_inc
1-FullIns_3_col4_1  SAT  1.374  1.0710000000000002  1.291  0.756  1.311  0.899  1.300  0.936
myciel3_col4_1  SAT  0.179  0.148  0.065  0.065  0.13  0.107  0.058  0.059
myciel3_col4_3  SAT  0.20600000000000002  0.164  0.082  0.080  0.14800000000000002  0.11000000000000001  0.064  0.097
myciel3_col4_4  SAT  0.48600000000000015  0.4450000000000001  0.303  0.583  0.548  0.3870000000000001  0.424  0.428
myciel3_col4_7  SAT  0.09000000000000001  0.072  0.042  0.036  0.063  0.047  0.036  0.031
myciel3_col4_8  SAT  0.119  0.094  0.048  0.044  0.081  0.063  0.042  0.037
myciel4_col5_2  SAT  42.482  48.721  20.308  134.056  84.83  48.55  32.865  136.220
myciel4_col5_3  SAT  17.098  21.210999999999995  5.286  80.848  31.839  20.967000000000002  6.556  41.929
myciel4_col5_4  SAT  0.256  0.193  0.086  0.072  0.181  0.12  0.077  0.055
myciel4_col5_6  SAT  1.525  1.391  1.052  1.558  1.5859999999999999  1.2870000000000001  1.194  1.446
myciel4_col5_10  SAT  212.68199999999996  73.646  29.999  200.068  98.71600000000002  72.92500000000001  75.552  172.774
